Project,Address,Round,Matching Amount
Distributed Solar for Web3 Creators in Nigeria,0x2604AB91d49106EE861BbC2B6718A4EC25318fae,GR15 (Sep 2022),2809.97667
Palta3,0x26739f166cA9003cCD9596e20Ff05F1929E5952C,Beta (May 2023),12.967705
HiGHS: an open-source MILP solver for energy modeling,0x26Cfa843872BCF39BA243BF9d8Df6FB35D1Dd24d,GR14 (Jun 2022),0.85381566
Pollen Buzz Initiative,0x28770db2ac7e4009b0e1aaa57db2abad86a96266,GG18 (Aug 2023),1384.14119
Pollen Buzz Initiative,0x28770db2ac7e4009b0e1aaa57db2abad86a96266,GG19 (Nov 2023),1051.43034
Meltek: Earn Crypto for Saving Energy,0x2987B9951F72b20f0C1cABaeA8a3C53a08402CF2,GR13 (Mar 2022),1761.3862
Meltek: Earn Crypto for Saving Energy,0x2987B9951F72b20f0C1cABaeA8a3C53a08402CF2,GR14 (Jun 2022),8429.61893
Meltek: Earn Crypto for Saving Energy,0x2987B9951F72b20f0C1cABaeA8a3C53a08402CF2,GR15 (Sep 2022),28.1365497
All for Climate: offering a back office for autonomous collectives,0x298f7f66ba43f0efecf4bc324b0016f822c783a4,GG18 (Aug 2023),892.09692
Support and onboard climate projects to web3 and Gitcoin,0x298F7F66bA43f0EfeCf4bc324b0016F822c783A4,GR12 (Dec 2021),2631.39393
Support and onboard climate projects to web3 and Gitcoin,0x298F7F66bA43f0EfeCf4bc324b0016F822c783A4,GR13 (Mar 2022),3835.19079
Support and onboard climate projects to web3 and Gitcoin,0x298F7F66bA43f0EfeCf4bc324b0016F822c783A4,GR14 (Jun 2022),540.334021
Support and onboard climate projects to web3 and Gitcoin,0x298F7F66bA43f0EfeCf4bc324b0016F822c783A4,GR15 (Sep 2022),434.614613
Bundle: Climate Research Alpha Round,0x29c40842a76b0aa28865ebf7c916ec820233b7bb,Alpha (Jan 2023),6189.62
Roela,0x2a301f7710137a46077789355c06eca2c6b4c4ef,GG18 (Aug 2023),21.8437639
Litter Token,0x2AD50d709C2FCdDd44534Ebe18495bDd6133c131,Beta (May 2023),721.087999
Litter Token DAO,0x2AD50d709C2FCdDd44534Ebe18495bDd6133c131,GR15 (Sep 2022),0.18421583
Web3 Impact Base - a platform for information sharing on companies using Web3 in their stack,0x2b58e750548A2Ee5e10987E7fb9c12c110fb9a9a,GR15 (Sep 2022),0.19014582
Simbiotica | The source for impact insights on-chain.,0x2bc06b249f9a677dccc65ed12f830698f2067c4f,GG18 (Aug 2023),262.984528
Simbiotica | The source for impact insights on-chain.,0x2bc06B249F9a677DCcC65Ed12F830698f2067C4f,Beta (May 2023),6146.61557
The water marketplace to combat a global water crisis,0x2bD9CF50d2830C0CF467ea0A0c86fb6766Dad341,GR14 (Jun 2022),1.19452075
Bloomeria,0x2dBC5A4A615c9fa0f93207467ad9fc277FaEF479,Beta (May 2023),365.226354
Bloomeria,0x2dBC5A4A615c9fa0f93207467ad9fc277FaEF479,GR12 (Dec 2021),6232.57104
Bloomeria,0x2dBC5A4A615c9fa0f93207467ad9fc277FaEF479,GR13 (Mar 2022),142.639975
Bloomeria,0x2dBC5A4A615c9fa0f93207467ad9fc277FaEF479,GR14 (Jun 2022),115.66866
Bloomeria,0x2dBC5A4A615c9fa0f93207467ad9fc277FaEF479,GR15 (Sep 2022),0.40799565
Natives in Tech,0x2dee5d7e77a1212b21139bc1d98b249dcc52055d,Alpha (Jan 2023),2241.48
Natives in Tech DAO,0x2DeE5D7e77A1212b21139Bc1d98B249DCc52055D,GR13 (Mar 2022),2048.12204
Natives in Tech DAO,0x2DeE5D7e77A1212b21139Bc1d98B249DCc52055D,GR14 (Jun 2022),2835.61651
Natives in Tech DAO,0x2DeE5D7e77A1212b21139Bc1d98B249DCc52055D,GR15 (Sep 2022),4942.88222
TREEGENS - The Most Transparent & Rewarding Tree Planting,0x2e19b39a5fb2608b10f375780a425afa0e042b11,GG18 (Aug 2023),11588.2167
Regenerative Science Methodology Facilitation,0x2Edaa86197A839792a9Befd71DafB328422be84E,GR15 (Sep 2022),29.1882064
The River: Social Impact Media DAO,0x2F60CFc6C157A1A2F47e4dcaD90377393B57159A,GR12 (Dec 2021),73.2756896
SISU Living Portals,0x2fe0807D0e806549D6ad240dfa47071be908b226,Beta (May 2023),17.5708417
Coorest CO2 tokens,0x307D43F1992b3CfC1F480568315002fdbc1B8cbc,GR15 (Sep 2022),4.15578181
